0x3524 - 0x5e81 = 0xxxxx, x x 0
0xd609 - 0x5663 = 0x3525, 0 0 0
0x7b0d - 0x998d = 0xd60a, 0 1 0
0x8465 - 0x5212 = 0x7b0e, 0 0 0
0xe301 - 0xcd0d = 0x8466, 0 1 0
0xf176 - 0xcd3d = 0xe302, 0 1 0
0x57ed - 0xf78c = 0xf177, 0 1 0
0xe9f9 - 0x24c6 = 0x57ee, 0 0 0
0x84c5 - 0xd2aa = 0xe9fa, 0 1 0
0xf7e5 - 0x7277 = 0x84c6, 0 1 0
0xd612 - 0xdb8f = 0xf7e6, 0 1 0
0x69f2 - 0x96ce = 0xd613, 0 1 0
0x7ae8 - 0x4ec5 = 0x69f3, 0 0 0
0x495c - 0x28bd = 0x7ae9, 0 0 0
0x582d - 0x2665 = 0x495d, 0 0 0
0x6263 - 0x870a = 0x582e, 0 0 0
0x2280 - 0x2120 = 0x6264, 0 0 0
0x45aa - 0xcc9d = 0x2281, 0 0 0
0x3e96 - 0xb813 = 0x45ab, 0 0 0
0x380d - 0xd653 = 0x3e97, 0 0 0
0xdd6b - 0x2ad5 = 0x380e, 0 0 0
0x4a02 - 0x3eae = 0xdd6c, 0 1 0
0xe91d - 0x72cf = 0x4a03, 0 0 0
0x4923 - 0x650a = 0xe91e, 0 1 0
0x0aca - 0x4c3c = 0x4924, 0 0 0
0xbdf2 - 0x618a = 0x0acb, 0 0 0
0xb341 - 0x34d8 = 0xbdf3, 0 1 0
0xf378 - 0x1289 = 0xb342, 0 1 0
0x0deb - 0x65b6 = 0xf379, 0 1 0
0xf9c6 - 0x13ae = 0x0dec, 0 0 0
0x02bc - 0xdd2a = 0xf9c7, 0 1 0
0x9a0b - 0xbe71 = 0x02bd, 0 0 0
0x4185 - 0x554f = 0x9a0c, 0 1 0
0x603b - 0x333a = 0x4186, 0 0 0
0x327e - 0x4b15 = 0x603c, 0 0 0
0x9bf1 - 0x4bd9 = 0x327f, 0 0 0
0x0762 - 0xfb4c = 0x9bf2, 0 1 0
0x559f - 0xa18f = 0x0763, 0 0 0
0xa9f8 - 0x60b7 = 0x55a0, 0 0 0
0x569f - 0x945c = 0xa9f9, 0 1 0
0xc05b - 0x3789 = 0x56a0, 0 0 0
0x3249 - 0x3ed0 = 0xc05c, 0 1 0
0xc0d7 - 0xfc51 = 0x324a, 0 0 0
0x2f96 - 0x7f0c = 0xc0d8, 0 1 0
0xcec2 - 0xedc8 = 0x2f97, 0 0 0
0x5a77 - 0xed3d = 0xcec3, 0 1 0
0xdb12 - 0x007e = 0x5a78, 0 0 0
0x816d - 0xe739 = 0xdb13, 0 1 0
0x8f1f - 0xf6d3 = 0x816e, 0 1 0
0x2f85 - 0x8878 = 0x8f20, 0 1 0
0x595b - 0x4b49 = 0x2f86, 0 0 0
0xae3f - 0xaf2a = 0x595c, 0 0 0
0x6358 - 0x3886 = 0xae40, 0 1 0
0x0c8e - 0xf29c = 0x6359, 0 0 0
0x99fa - 0xbc26 = 0x0c8f, 0 0 0
0x1773 - 0xb4a3 = 0x99fb, 0 1 0
0xa82f - 0x92b3 = 0x1774, 0 0 0
0x565f - 0x0d44 = 0xa830, 0 1 0
0xfdf7 - 0x36cb = 0x5660, 0 0 0
0x1ae6 - 0xdb5a = 0xfdf8, 0 1 0
0xc129 - 0xe2ed = 0x1ae7, 0 0 0
0x6cda - 0xb665 = 0xc12a, 0 1 0
0xe2b5 - 0x94df = 0x6cdb, 0 0 0
0x1979 - 0xff44 = 0xe2b6, 0 1 0
0x0cd0 - 0x0b2a = 0x197a, 0 0 0
0xadab - 0xcf0e = 0x0cd1, 0 0 0
0xaddc - 0xbc9a = 0xadac, 0 1 0
0x72fd - 0x02c3 = 0xaddd, 0 1 0
0xed56 - 0xe94e = 0x72fe, 0 0 0
0x7667 - 0x340a = 0xed57, 0 1 0
0xb9b6 - 0x8a38 = 0x7668, 0 0 0
0x8779 - 0xc4b8 = 0xb9b7, 0 1 0
0xbf94 - 0x5d93 = 0x877a, 0 1 0
0x2c04 - 0xca59 = 0xbf95, 0 1 0
0x69db - 0xde4d = 0x2c05, 0 0 0
0xb7d9 - 0x266d = 0x69dc, 0 0 0
0xe276 - 0x49ca = 0xb7da, 0 1 0
0x2db6 - 0x7195 = 0xe277, 0 1 0
0x1a46 - 0x9b04 = 0x2db7, 0 0 0
0x61f7 - 0x0769 = 0x1a47, 0 0 0
0xbab4 - 0x8d88 = 0x61f8, 0 0 0
0xd928 - 0x042d = 0xbab5, 0 1 0
0x30c7 - 0x9c2e = 0xd929, 0 1 0
0xe408 - 0x451c = 0x30c8, 0 0 0
0xa6fd - 0x0729 = 0xe409, 0 1 0
0x901c - 0x6786 = 0xa6fe, 0 1 0
0x08da - 0xc63d = 0x901d, 0 1 0
0xa766 - 0xc470 = 0x08db, 0 0 0
0x0473 - 0x99ba = 0xa767, 0 1 0
0xb35e - 0x79fa = 0x0474, 0 0 0
0x05d5 - 0xf61a = 0xb35f, 0 1 0
0x00b9 - 0x6137 = 0x05d6, 0 0 0
0x3796 - 0x21c0 = 0x00ba, 0 0 0
0x9f26 - 0x1ab6 = 0x3797, 0 0 0
0x837d - 0x0fdc = 0x9f27, 0 1 0
0x5786 - 0xff78 = 0x837e, 0 1 0
0x9b7e - 0x80db = 0x5787, 0 0 0
0xb6cf - 0x2b79 = 0x9b7f, 0 1 0
0xe4fa - 0xee61 = 0xb6d0, 0 1 0
0x0917 - 0x78a1 = 0xe4fb, 0 1 0
